Testes de variação de epocas de treino para a rede neural com a base de dados Hill.
Formato (Qt. epocas, Accuracy, Tempo de execução)
(161, 0.0, 0.2938497066497803)
(162, 0.0, 0.29839110374450684)
(163, 0.0, 0.3142054080963135)
(164, 0.0, 0.3179590702056885)
(165, 0.0, 0.3143019676208496)
(166, 0.0, 0.3262319564819336)
(167, 0.0, 0.32831811904907227)
(168, 0.0, 0.32766151428222656)
(169, 0.0, 0.3329148292541504)
(170, 0.0, 0.3293018341064453)
(171, 0.0, 0.3255741596221924)
(172, 0.0, 0.3359987735748291)
(173, 0.0, 0.3566138744354248)
(174, 0.0, 0.39599084854125977)
(175, 0.0, 0.3476111888885498)
(176, 0.0, 0.35242128372192383)
(177, 0.0, 0.32677531242370605)
(178, 0.0, 0.3336215019226074)
(179, 0.0, 0.3328118324279785)
(180, 0.0, 0.3326578140258789)
(181, 0.0, 0.3331630229949951)
(182, 0.0, 0.3356492519378662)
(183, 0.0, 0.3338794708251953)
(184, 0.0, 0.33756589889526367)
(185, 0.0, 0.3442714214324951)
(186, 0.0, 0.3435096740722656)
(187, 0.0, 0.3449554443359375)
(188, 0.0, 0.34673571586608887)
(189, 0.0, 0.3446826934814453)
(190, 0.0, 0.349092960357666)
(191, 0.0, 0.3543682098388672)
(192, 0.0, 0.3644416332244873)
(193, 0.0, 0.3706543445587158)
(194, 0.0, 0.3535304069519043)
(195, 0.0, 0.3589487075805664)
(196, 0.0, 0.3610689640045166)
(197, 0.0, 0.371936559677124)
(198, 0.0, 0.3621556758880615)
(199, 0.0, 0.36458921432495117)
(200, 0.0, 0.36487889289855957)
(201, 0.0, 0.36461901664733887)
(202, 0.0, 0.371415376663208)
(203, 0.0, 0.3680000305175781)
(204, 0.0, 0.3777153491973877)
(205, 0.0, 0.37670063972473145)
(206, 0.0, 0.38251757621765137)
(207, 0.0, 0.383716344833374)
(208, 0.0, 0.3868870735168457)
(209, 0.0, 0.40282106399536133)
(210, 0.0, 0.393953800201416)
(211, 0.0, 0.46062278747558594)
(212, 0.0, 0.4193141460418701)
(213, 0.0, 0.3907935619354248)
(214, 0.0, 0.3941032886505127)
(215, 0.0, 0.39345765113830566)
(216, 0.0, 0.4489278793334961)
(217, 0.0, 0.43262147903442383)
(218, 0.0, 0.41599416732788086)
(219, 0.0, 0.42517828941345215)
(220, 0.0, 0.4427497386932373)
(221, 0.0, 0.45952343940734863)
(222, 0.0, 0.4486992359161377)
(223, 0.0, 0.4685554504394531)
(224, 0.0, 0.4361264705657959)
(225, 0.0, 0.42966127395629883)
(226, 0.0, 0.48052048683166504)
(227, 0.0, 0.4765000343322754)
(228, 0.0, 0.45740795135498047)
(229, 0.0, 0.44622206687927246)
(230, 0.0, 0.47713613510131836)
(231, 0.0, 0.4365718364715576)
(232, 0.0, 0.43993473052978516)
(233, 0.0, 0.4535188674926758)
(234, 0.0, 0.4269554615020752)
(235, 0.0, 0.432492733001709)
(236, 0.0, 0.43375372886657715)
(237, 0.0, 0.4337308406829834)
(238, 0.0, 0.43723416328430176)
(239, 0.0, 0.432403564453125)
(240, 0.0, 0.47452425956726074)
(241, 0.0, 0.5859410762786865)
(242, 0.0, 0.5030243396759033)
(243, 0.0, 0.49648594856262207)
(244, 0.0, 0.4679241180419922)
(245, 0.0, 0.4618222713470459)
(246, 0.0, 0.47632718086242676)
(247, 0.0, 0.4696636199951172)
(248, 0.0, 0.4721670150756836)
(249, 0.0, 0.4712648391723633)
(250, 0.0, 0.4745786190032959)
(251, 0.0, 0.47548341751098633)
(252, 0.0, 0.4863400459289551)
(253, 0.0, 0.4724311828613281)
(254, 0.0, 0.460568904876709)
(255, 0.0, 0.49712443351745605)
(256, 0.0, 0.5083456039428711)
(257, 0.0, 0.4990527629852295)
(258, 0.0, 0.5828258991241455)
(259, 0.0, 0.5359387397766113)
(260, 0.0, 0.564885139465332)
(261, 0.0, 0.5181090831756592)
(262, 0.0, 0.5356910228729248)
(263, 0.0, 0.541515588760376)
(264, 0.0, 0.5101256370544434)
(265, 0.0, 0.5115149021148682)
(266, 0.0, 0.5159881114959717)
(267, 0.0, 0.5139451026916504)
(268, 0.0, 0.5473673343658447)
(269, 0.0, 0.5504541397094727)
(270, 0.0, 0.5217828750610352)
(271, 0.0, 0.5135517120361328)
(272, 0.0, 0.5173490047454834)
(273, 0.0, 0.5144875049591064)
(274, 0.0, 0.5231232643127441)
(275, 0.0, 0.5188751220703125)
(276, 0.0, 0.5207126140594482)
(277, 0.0, 0.5292387008666992)
(278, 0.0, 0.5877513885498047)
(279, 0.0, 0.5151464939117432)
(280, 0.0, 0.5140652656555176)
(281, 0.0, 0.5337634086608887)
(282, 0.0, 0.515819787979126)
(283, 0.0, 0.5245809555053711)
(284, 0.0, 0.5609233379364014)
(285, 0.0, 0.5934116840362549)
(286, 0.0, 0.5619180202484131)
(287, 0.0, 0.5465600490570068)
(288, 0.0, 0.5255894660949707)
(289, 0.0, 0.5279679298400879)
(290, 0.0, 0.5343356132507324)
(291, 0.0, 0.5237135887145996)
(292, 0.0, 0.5251100063323975)
(293, 0.0, 0.5177037715911865)
(294, 0.0, 0.5229239463806152)
(295, 0.0, 0.5290505886077881)
(296, 0.0, 0.5313525199890137)
(297, 0.0, 0.5331680774688721)
(298, 0.0, 0.5317597389221191)
(299, 0.0, 0.5301311016082764)
