Testes de variação de epocas de treino para a rede neural com a base de dados Hill.
Formato (Qt. epocas, Accuracy, Tempo de execução)
(79, 33.33333333333333, 0.10157918930053711)
(80, 33.33333333333333, 0.10360336303710938)
(81, 33.33333333333333, 0.10469532012939453)
(82, 33.33333333333333, 0.10806798934936523)
(83, 33.33333333333333, 0.10957193374633789)
(84, 33.33333333333333, 0.10765647888183594)
(85, 33.33333333333333, 0.11086225509643555)
(86, 33.33333333333333, 0.11162900924682617)
(87, 33.33333333333333, 0.11289000511169434)
(88, 33.33333333333333, 0.11531996726989746)
(89, 33.33333333333333, 0.11433696746826172)
(90, 33.33333333333333, 0.12543916702270508)
(91, 33.33333333333333, 0.11937212944030762)
(92, 33.33333333333333, 0.12424111366271973)
(93, 33.33333333333333, 0.11923670768737793)
(94, 33.33333333333333, 0.13695430755615234)
(95, 33.33333333333333, 0.12680673599243164)
(96, 33.33333333333333, 0.13362646102905273)
(97, 33.33333333333333, 0.1272280216217041)
(98, 33.33333333333333, 0.13561797142028809)
(99, 33.33333333333333, 0.14134526252746582)
(100, 33.33333333333333, 0.14330744743347168)
(101, 33.33333333333333, 0.13884902000427246)
(102, 33.33333333333333, 0.13965320587158203)
(103, 33.33333333333333, 0.1411895751953125)
(104, 33.33333333333333, 0.13827276229858398)
(105, 33.33333333333333, 0.139542818069458)
(106, 33.33333333333333, 0.14270329475402832)
(107, 33.33333333333333, 0.14419317245483398)
(108, 33.33333333333333, 0.14509797096252441)
(109, 33.33333333333333, 0.15254783630371094)
(110, 33.33333333333333, 0.14612793922424316)
(111, 33.33333333333333, 0.14819097518920898)
(112, 33.33333333333333, 0.14640498161315918)
(113, 33.33333333333333, 0.15612339973449707)
(114, 33.33333333333333, 0.150252103805542)
(115, 33.33333333333333, 0.15468263626098633)
(116, 33.33333333333333, 0.15424323081970215)
(117, 33.33333333333333, 0.16594219207763672)
(118, 33.33333333333333, 0.16384363174438477)
(119, 33.33333333333333, 0.1673891544342041)
(120, 33.33333333333333, 0.16210222244262695)
(121, 33.33333333333333, 0.15970778465270996)
(122, 33.33333333333333, 0.16841864585876465)
(123, 33.33333333333333, 0.16647982597351074)
(124, 33.33333333333333, 0.1603376865386963)
(125, 33.33333333333333, 0.16661310195922852)
(126, 33.33333333333333, 0.1713721752166748)
(127, 33.33333333333333, 0.1658942699432373)
(128, 33.33333333333333, 0.17969799041748047)
(129, 33.33333333333333, 0.17994141578674316)
(130, 33.33333333333333, 0.1813185214996338)
(131, 33.33333333333333, 0.17208504676818848)
(132, 33.33333333333333, 0.17541289329528809)
(133, 33.33333333333333, 0.1772017478942871)
(134, 33.33333333333333, 0.17460107803344727)
(135, 33.33333333333333, 0.1879255771636963)
(136, 33.33333333333333, 0.19997048377990723)
(137, 33.33333333333333, 0.18062615394592285)
(138, 33.33333333333333, 0.1851973533630371)
(139, 33.33333333333333, 0.19209694862365723)
(140, 33.33333333333333, 0.6053330898284912)
(141, 33.33333333333333, 0.18570876121520996)
(142, 33.33333333333333, 0.18887591361999512)
(143, 33.33333333333333, 0.19518303871154785)
(144, 33.33333333333333, 0.20414471626281738)
(145, 33.33333333333333, 0.20014691352844238)
(146, 33.33333333333333, 0.19378352165222168)
(147, 33.33333333333333, 0.19396400451660156)
(148, 33.33333333333333, 0.2195115089416504)
(149, 33.33333333333333, 0.22512555122375488)
(150, 33.33333333333333, 0.19875645637512207)
(151, 33.33333333333333, 0.19519352912902832)
(152, 33.33333333333333, 0.2118527889251709)
(153, 33.33333333333333, 0.22197651863098145)
(154, 33.33333333333333, 0.22638344764709473)
(155, 33.33333333333333, 0.2130722999572754)
(156, 33.33333333333333, 0.20851755142211914)
(157, 33.33333333333333, 0.2054886817932129)
(158, 33.33333333333333, 0.2085578441619873)
(159, 33.33333333333333, 0.21700525283813477)
(160, 33.33333333333333, 0.2120833396911621)
(161, 33.33333333333333, 0.21019744873046875)
(162, 33.33333333333333, 0.20746183395385742)
(163, 33.33333333333333, 0.21355819702148438)
(164, 33.33333333333333, 0.22022795677185059)
(165, 33.33333333333333, 0.22826647758483887)
(166, 33.33333333333333, 0.22586655616760254)
(167, 33.33333333333333, 0.21381473541259766)
(168, 33.33333333333333, 0.22385931015014648)
(169, 33.33333333333333, 0.2233719825744629)
(170, 33.33333333333333, 0.25421905517578125)
(171, 33.33333333333333, 0.25287890434265137)
(172, 33.33333333333333, 0.2354106903076172)
(173, 33.33333333333333, 0.23012638092041016)
