Testes de variação de epocas de treino para a rede neural com a base de dados Hill.
Formato (Qt. epocas, Accuracy, Tempo de execução)
(0, 48.559670781893004, 0.0963582992553711)
(1, 48.559670781893004, 0.1881868839263916)
(2, 48.559670781893004, 0.25170373916625977)
(3, 55.96707818930041, 0.32627391815185547)
(4, 48.559670781893004, 0.42802000045776367)
(5, 88.47736625514403, 0.48929882049560547)
(6, 88.88888888888889, 0.5534112453460693)
(7, 88.47736625514403, 0.6298520565032959)
(8, 70.78189300411523, 0.7515468597412109)
(9, 87.65432098765432, 0.7964284420013428)
(10, 77.36625514403292, 0.8731014728546143)
(11, 81.89300411522635, 0.9248101711273193)
(12, 88.88888888888889, 1.0318357944488525)
(13, 89.30041152263375, 1.0570166110992432)
(14, 82.3045267489712, 1.1646530628204346)
(15, 89.30041152263375, 1.2320137023925781)
(16, 88.88888888888889, 1.37705397605896)
(17, 89.30041152263375, 1.443967580795288)
(18, 90.12345679012346, 1.4774863719940186)
(19, 89.30041152263375, 1.5892198085784912)
(20, 90.12345679012346, 1.6987059116363525)
(21, 90.94650205761316, 1.7491164207458496)
(22, 90.53497942386831, 2.1138851642608643)
(23, 90.53497942386831, 1.8440124988555908)
(24, 91.76954732510289, 2.2437033653259277)
(25, 92.18106995884774, 1.9871594905853271)
(26, 93.4156378600823, 2.0121829509735107)
(27, 94.23868312757202, 2.0163044929504395)
(28, 94.23868312757202, 2.1618239879608154)
(29, 94.23868312757202, 2.5226235389709473)
(30, 94.23868312757202, 4.239902019500732)
(31, 93.4156378600823, 4.453636407852173)
(32, 94.65020576131687, 4.631140232086182)
(33, 94.65020576131687, 4.722893238067627)
(34, 94.23868312757202, 5.011714458465576)
(35, 94.65020576131687, 5.050080299377441)
(36, 93.82716049382715, 5.1419923305511475)
(37, 94.23868312757202, 5.36653470993042)
(38, 94.23868312757202, 5.448715686798096)
(39, 94.23868312757202, 5.580514669418335)
(40, 94.23868312757202, 5.8078999519348145)
(41, 94.23868312757202, 5.618757009506226)
(42, 94.65020576131687, 5.905536651611328)
(43, 94.23868312757202, 6.009929418563843)
(44, 94.23868312757202, 6.1454691886901855)
(45, 94.65020576131687, 6.273816108703613)
(46, 94.23868312757202, 6.405539512634277)
(47, 92.18106995884774, 6.6058189868927)
(48, 92.18106995884774, 6.738322973251343)
(49, 94.23868312757202, 6.972196102142334)
(50, 94.23868312757202, 7.105442762374878)
(51, 94.23868312757202, 7.117375612258911)
(52, 94.65020576131687, 6.883744716644287)
(53, 93.4156378600823, 7.795248031616211)
(54, 92.18106995884774, 6.433778762817383)
(55, 92.5925925925926, 7.121899127960205)
(56, 95.06172839506173, 7.674592971801758)
(57, 94.65020576131687, 7.91872239112854)
(58, 95.06172839506173, 7.979074239730835)
(59, 95.06172839506173, 6.448206186294556)
(60, 94.23868312757202, 4.497968673706055)
(61, 91.76954732510289, 6.120273113250732)
(62, 94.65020576131687, 6.141961574554443)
(63, 95.06172839506173, 6.77820348739624)
(64, 95.06172839506173, 5.867891550064087)
(65, 93.00411522633745, 9.556802034378052)
(66, 93.00411522633745, 9.463831901550293)
(67, 94.65020576131687, 9.87771987915039)
(68, 94.23868312757202, 7.202220439910889)
(69, 92.18106995884774, 4.935497522354126)
(70, 94.65020576131687, 4.984086990356445)
(71, 94.65020576131687, 5.0758056640625)
(72, 93.00411522633745, 5.023943185806274)
(73, 94.23868312757202, 5.290135622024536)
(74, 94.65020576131687, 5.1020238399505615)
(75, 94.65020576131687, 5.281323194503784)
(76, 93.82716049382715, 5.284930944442749)
(77, 94.65020576131687, 5.4548139572143555)
(78, 94.65020576131687, 5.501098155975342)
(79, 93.82716049382715, 5.645929336547852)
(80, 95.47325102880659, 5.585479736328125)
(81, 94.65020576131687, 5.768493175506592)
(82, 94.65020576131687, 5.878233909606934)
(83, 94.65020576131687, 5.909274101257324)
(84, 94.65020576131687, 5.9865288734436035)
(85, 94.65020576131687, 11.184641122817993)
(86, 94.23868312757202, 11.768941402435303)
(87, 95.06172839506173, 11.61143445968628)
(88, 94.65020576131687, 11.653518915176392)
(89, 94.65020576131687, 11.772012710571289)
(90, 94.65020576131687, 12.057901620864868)
(91, 94.65020576131687, 12.173346757888794)
(92, 95.06172839506173, 12.366002321243286)
(93, 94.65020576131687, 12.343647480010986)
(94, 95.06172839506173, 12.279110193252563)
(95, 94.65020576131687, 12.649692296981812)
(96, 95.06172839506173, 12.626812934875488)
(97, 95.06172839506173, 12.842195510864258)
(98, 95.06172839506173, 12.986309051513672)
(99, 95.06172839506173, 12.976435661315918)
(100, 92.5925925925926, 13.33945083618164)
(101, 95.88477366255144, 13.560321569442749)
(102, 95.47325102880659, 13.565842866897583)
(103, 95.06172839506173, 13.856676578521729)
(104, 92.5925925925926, 13.768106937408447)
(105, 95.06172839506173, 14.022391319274902)
(106, 95.47325102880659, 14.268069505691528)
(107, 95.06172839506173, 14.311928272247314)
(108, 95.06172839506173, 14.35094428062439)
(109, 95.88477366255144, 14.653074741363525)
(110, 95.06172839506173, 12.098090171813965)
(111, 95.47325102880659, 14.747782468795776)
(112, 95.47325102880659, 16.086090326309204)
(113, 95.47325102880659, 10.249449968338013)
(114, 95.88477366255144, 10.84223198890686)
(115, 95.06172839506173, 15.812587976455688)
(116, 95.88477366255144, 15.803820610046387)
(117, 95.88477366255144, 15.862913846969604)
(118, 95.88477366255144, 15.874504804611206)
(119, 95.88477366255144, 11.864655494689941)
(120, 95.88477366255144, 13.042153120040894)
(121, 95.88477366255144, 10.258674144744873)
(122, 95.88477366255144, 16.32282567024231)
