PRODUTO,OPERACAO
000870,142160
000931,142160
004329,142160
000894,142160
000350,142160
002895,142335
000533,141088
000781,141088
000431,141088
000474,141088
000531,141088
001131,141088
000228,142356
001231,142787
001487,142787
001978,142836
003204,143112
001299,143112
000157,143112
000577,143156
000581,143156
000267,143156
001977,142593
001073,142593
004283,142593
000315,142593
001475,142879
003128,142879
001436,142879
001435,142879
002796,142879
001559,142879
003577,142879
001331,142879
000861,143076
000296,143076
000166,143076
004789,143076
000895,143229
000928,144317
003732,144317
001977,144454
001981,144454
001556,144454
001035,144473
001683,144839
001386,144839
002920,144839
000536,144839
000214,144839
003204,144839
000294,144839
000292,144839
000639,144839
000295,144839
000637,144839
002472,144839
000766,144839
000158,144839
000861,144839
003718,144839
000195,144839
000205,144839
000225,144839
000976,144839
002065,144839
002075,144839
003538,144839
001203,144839
003702,144839
000786,144839
002130,144839
003213,144839
004091,144839
001168,144839
002392,144839
002509,144839
000221,144839
001507,144839
001429,144839
000350,144839
000704,145357
001862,145369
000615,145369
004357,145369
000562,145369
004540,145369
000617,145369
003977,145369
004721,145369
000348,145369
000301,145369
000493,145369
001456,145369
003386,145369
002084,145369
004539,145369
002083,145369
004333,145369
004234,145369
002084,145369
004229,145369
004791,145792
004143,146079
004143,146080
000931,146077
000002,146306
003875,146306
003902,146366
000034,146366
000104,146366
001197,146366
000620,146366
000362,146366
000756,146366
000166,146366
002165,146366
000299,146366
001941,146366
001377,146366
000868,146366
000637,146366
000634,146366
000289,146366
000718,146366
001551,146366
001650,146366
003548,146366
001356,146366
001035,146734
000787,147115
000702,147115
002690,147151
002062,147151
000780,147351
000780,147350
001269,147406
001456,147431
003177,147431
004008,147431
000220,147431
001748,147630
002367,147630
001819,147630
000140,147630
000734,147691
000714,147743
002533,147310
000173,147310
000547,147310
000971,147310
001035,148037
000952,148243
000608,148243
001017,148243
000248,148243
004653,148243
002677,148243
002128,148243
001595,148390
000756,148390
000630,148844
001075,148797
001880,149322
004513,149322
004734,149322
000061,149333
003718,149333
002223,149333
001403,149333
000574,149333
000773,149333
001955,149333
001016,149333
000470,149333
001408,149333
003794,149333
003121,149333
004407,148477
000340,150257
001977,149700
001073,149700
000931,149700
001381,150648
000768,150981
000007,151624
001174,151624
000641,152046
002435,152046
002860,152046
000773,152046
004040,152046
000878,152046
001035,152659
001556,153623
004136,153623
000926,153707
001035,154577
003106,154798
000393,155309
001533,155309
000097,156265
002647,156497
004229,156691
002480,156691
002858,156691
000714,156691
000701,156691
000952,156691
001819,156691
000711,156691
003385,156691
000537,156691
000704,156691
000219,156691
003292,156691
003157,156691
002707,156691
001158,156691
004547,156691
004823,156691
001330,156691
001328,156691
001153,156691
003902,156691
001175,156691
001907,156691
003373,156691
000195,156691
000756,156691
000204,156691
003283,156691
000960,156691
000462,156691
000861,156691
004479,156691
001475,156691
002086,156691
004234,156691
002907,156691
001231,156691
003977,156691
000931,156691
004245,156691
000478,156691
000393,157005
003165,157298
001446,158454
003618,158709
000536,158574
001490,158574
000704,158574
000219,158574
001386,158574
000762,158574
000651,158574
003515,158574
000157,158574
000205,158574
000201,158574
002084,158574
000115,158574
000291,158574
000097,158574
004204,158574
001475,158574
001571,158574
001494,158574
001908,158574
003702,158574
000997,158574
004436,158574
000510,158574
001780,158574
000776,158574
001614,158574
000931,159362
001446,159393
000717,159601
001214,159601
001819,159174
000861,159174
000293,159174
004479,159174
000701,159174
000277,159174
001032,160542
001907,160626
000114,160626
003385,160626
001231,160851
001399,160851
004420,160851
004337,160851
000228,160851
001059,160851
004099,160851
000166,160851
001540,160851
004545,160851
002309,160851
000711,160851
003193,160851
002461,160851
004621,160851
000262,160851
002647,160851
001819,160851
002959,160851
004426,160851
000316,160851
000711,160851
000714,160851
000704,160933
000537,160933
000427,160933
003515,161090
002083,161090
001448,161090
000701,161546
000701,161711
000789,161711
000356,161841
004070,161939
002750,161662
004821,161662
001819,161662
000952,161662
000533,162070
001256,162070
000220,162635
000463,162934
000926,163435
001818,163435
001075,163841
000701,164485
001556,164484
000931,164484
000712,164484
001269,164484
004621,164484
003437,164484
001536,164484
000533,164484
003502,164484
003510,164484
001785,164484
001785,164517
001556,164517
003880,164517
003377,164517
000712,164517
001260,164886
001106,165441
000478,165441
001231,165791
003880,165791
000952,165867
001819,165867
000294,165867
000292,165867
000291,165867
000294,165867
001818,165867
003176,165867
003204,165867
000717,165867
000718,165867
003880,165867
004174,165867
000066,165867
000219,165867
001395,165867
002212,165867
000205,165867
000283,165867
001887,165867
000451,165867
000201,165867
000451,165867
000668,165867
000664,165867
001461,165867
000297,165867
004295,165867
000861,165867
000386,165867
000426,165867
000721,165867
003748,165867
001916,165867
001305,165867
003208,165867
000533,165867
001952,165867
003408,165867
000431,165867
001086,165867
003184,165867
000095,165867
003424,165867
004322,165867
000700,165867
000707,165867
004295,165867
002426,165867
000296,165867
001217,165867
002183,165867
003588,165867
003567,165867
001939,165867
001392,165867
001734,165867
000314,165867
002959,165867
003451,165867
001564,165867
002926,165867
004828,165867
000716,165867
003515,165867
001880,165867
001530,165867
001753,165867
003510,165867
003386,165867
003386,165867
003386,165867
000630,165867
003386,166070
002618,166070
001202,166070
004643,166070
004643,166347
001556,166347
001650,166347
004143,166347
000928,166347
000141,166347
000219,166473
000930,166473
003899,166473
002463,166473
000664,166473
002581,166536
002813,166691
000348,166691
001785,166780
001482,166843
